poem,distance
Адалис А.Е._Юность!-Ты-была-со-мной-вчера_Х5ммж,12.821758020775404
Соловьев С.М._За-полночь.-Прошедшего-завеса_Х5жм,12.822653690765268
Вега М._Жизнь-уйдет-и-ничего-не-даст-она_Х5дм,12.823310796253281
Полонская Е.Г._Только-в-снах-еще-ты-настоящий_Х5ж; Х6ж,12.830818199523042
Есенин С. А._Спит-ковыль.-Равнина-дорогая_Х5жм,12.838244140632371
"Кнут Д. (Фиксман Д.М.)_Это-было-третьего-апреля_Х5ж,м",12.83891048982331
Брюсов В.Я._В-снежной-мгле-угрюмы-вопли-вьюги_Х5ж,12.849587087242831
Визи М._Точно-кружевом-одетый-тиной_Х5жм,12.857917924773915
Брюсов В.Я._Крут-и-терпк-осенний-вечер;-с-поля_Х5ж,12.86142363131973
Твардовский А.Т._Над-великой-русскою-равниной_Х5жм; Х5д,12.862687532427163
"Сельвинский И.Л._Дирижер-крутой-и-своевольный_Х5ж,м",12.865825703167125
Кузмин М.А._Сколько-лет-тебе-скажи-Психея?_Х5жм,12.868363106837409
Северянин И._Я-иду-со-свитою-по-лесу._Х5жм,12.868543883198363
Бальмонт К.Д._Долго-я-лежу-на-льду-зеркальном-_Х5жм,12.877402861953918
Эренбург И.Г._На-ладони----карта-с-малолетства_Х5жм; Х6м,12.879168023892113
Прокофьев А.А._Сохранен-твой-след-осенним-ливнем_Х5жм,12.880136841389366
Чегринцева Э.К._Ближе-утро.-Нехотя-и-вяло_Х5жм,12.88626296665852
Поплавский Б.Ю._В-черном-парке-мы-весну-встречали_Х5ж; Х5м,12.895376247752122
Лившиц Б.К._Кто-здесь-плотник-Петр-или-Иосиф_Х5жм,12.896422479932236
Черемнов А.С._Ночь----не-ночь...-Лупа-в-туманном-мареве_Х5дм,12.904168658279305
Прокофьев А.А._В-первоклассных-песнях-прогремела_Х5жм,12.905370106774953
Ходасевич В.Ф._Красный-Марс-восходит-над-агавой_Х5жм,12.907029503485358
Шенгели Г.А._Полночь.-Ветер.-Лодка-покачнулась_Х5ж,12.9096970575082
Присманова А.С._Тает-в-небе-cтая-голубей:_Х5мж,12.91582875399889
Янковская В.Ю._Только-слышать-шумы-буйных-сосен._Х5ж,12.920035540234887
Цветаева М.И._По-дорогам-от-мороза-звонким_Х5жжм,12.921450986450692
Трубецкой Ю.П._Церковка-заросшие-пригорки_Х5жм,12.926525801438224
"Поплавский Б.Ю._Все-спокойно-раннею-весною._Х5ж,м",12.927538248687272
"Светлов М.А._Мне-не-славы-чудится-полет_Х5ж,м",12.92937371610317
Тарловский М.А._Градусник-повешен-за-окном._Х5мж,12.932087937870902
Антокольский П.Г._Я-хочу-чтобы-курьерский-поезд_Х5жм,12.93395455874525
"Тихонов Н.С._В-эту-ночь-звенела-вся-посуда_Х5ж,м",12.935839296209462
Белоцветов Н.Н._Всё-о-том-что-годы-что-сребристы_Х5жм,12.94090361628908
Толстая М.А._На-небе-прозрачными-руками._Х5жм; Х6ж,12.942491414505275
Пастернак Б.Л._Вырываясь-с-моря-из-за-почты_Х5жм,12.965607124224055
Луговской В.А._Поманила-пальцем.-/-Убежала._Х5жм,12.966070630284776
Андреев Д.Л._Индия!-Таинственное-имя_Х5ж,12.966435217259503
Бунин И.А._Что-шумит-звенит-перед-зарею?_Х5ж,12.967004806517872
Лесная И._В-жизни-всюду-встречи-и-дороги_Х5жм,12.981717644057618
Эренбург И.Г._Были-липы-люди-купола._Х5м,12.990095251500723
"Некрасов Н.А._Черный-день!-Как-нищий-просит-хлеба_Х5ж,м; Х4м",12.995281266785277
"Поплавский Б.Ю._Был-красивый-полон-удивленья_Х5ж,м",13.001261345230681
Кузьмина-Караваева Е.Ю._Не-укрыться-в-миросозерцанье_Х5жм,13.001423602862205
Цветаева М.И._Волшебство-немецкой-феерии_Х5жм,13.0015272453927
"Цветаева М.И._Мне-ль-которой-ничего-не-надо_Х5ж,м",13.00390787007174
Случевский К.К._Осень-землю-золотом-одела_Х5ж,13.004353473321139
Туроверов Н.Н._Что-из-этой-жизни-унесу-я_Х5жм,13.00670192064286
Берггольц О.Ф._Слышала----приедешь-к-нам-не-скоро-ты_Х5дм,13.011137158009598
Волошин М.А._Ветер-с-неба-клочья-облак-вытер_Х5жм; Х6м,13.011150177619768
Иванов В.И._По-опавшим-листьям-шелестит_Х5ммж,13.012043959061348
Присманова А.С._Так-уxодят-в-cумpак-поезда_Х5мж,13.014170667790372
Бунин И.А._В-полночь-выхожу-один-из-дома_Х5жм,13.020920027532528
Бунин И.А._В-воскресенье-раньше-литургии_Х5ж,13.037016269336863
Эренбург И.Г._Жалко-в-жизни-мне-еще-дождя._Х5мд; Х6м,13.042071998310139
Брюсов В.Я._Странствующий-рыцарь-Дон-Кихот!_Х5м,13.043515132106126
Бунин И.А._Ночью-в-море-крепко-спать-хотелось_Х5ж,13.047024282425218
Барт (Копельман) С.В._Ты-меня-задушишь-день-весенний!_Х5жм,13.058742814288902
"Поплавский Б.Ю._За-стеною-жизни-ходит-осень_Х5ж; Х5д,м",13.059659068475167
"Поплавский Б.Ю._В-гробовом-таинственном-театре_Х5ж,м",13.061405927813222
Асеев Н.Н._Нынче-утром-певшее-железо_Х5жм,13.063359757067143
Иванов Г.В._В-середине-сентября-погода_Х5жм; Х4м,13.066932945586192
Северянин И._Захрустели-пухлые-кайзэрки_Х5жм,13.081477309705912
Кедрин Д.Б._На-полу-игрушки.-В-доме-тишь._Х5м,13.089820935367632
Светлов М.А._Молодое-греческое-тело_Х5жм,13.09033599054458
Эренбург И.Г._Белым-снегом-устланная-нива_Х5жм,13.099090441661495
Майков А.Н._Запевают-пташки-на-заре_Х5м,13.10092770711265
Головина А.С._Отходя-от-сновидений-ночью_Х5жм,13.101110521771677
Прокофьев А.А._Наклонился-вечер-хмур-и-темен_Х5жм,13.11069977669641
Ивнев Р. (Ковалев М.А.)_Словно-кубики-слова-перебираю_Х5жд; Х6ж,13.118962000898321
Петров С.В._От-души-открыт-вечерний-сад._Х5мж,13.133416349881276
Бунин И.А._Вся-в-снегу-кудрявом-благовонном_Х5жжм,13.135865016838638
Шкапская М.М._Ты-зовешь-меня-своей-капризой-_Х5жм,13.147872347437968
Ушаков Н.Н._Расскажи-народам-всем-и-странам---_Х5жм,13.149794933234544
Эрберг К. (Сюннерберг К.А.)_Облаков-закатные-опалы_Х5жжм,13.151627547816975
Уткин И.П._...Плыл-туман/-за-ледяной-горою_Х5жм; Х6ж,13.151950262206249
Туроверов Н.Н._Ты-одна-со-мною-разделила_Х5жм,13.151954246919768
Ушаков Н.Н._Ночь-как-ночь-/-и-мрак-вполне-нормален._Х5жм,13.158252754740955
Гранин Г._Где-то-там-кудрявой-пеной-вьется_Х5ж,13.158465390954014
